#,Event Date,Year ,Species,Name.Current.Sci,Location,County/Region,GPS Lat,GPS Long,GridRef,Record ID,Stranding ID,Observer,Live Stranding
3026,07/02/1990,1990,sperm whale,Physeter macrocephalus ,Mulranny Clew Bay,Co. Mayo,53.9001,-9.7959,,2010,1990_004,Fairley INJ 23(8) -  328-329., NO
3027,31/01/1990,1990,striped dolphin,Stenella coeruleoalba,Finish Island,Co. Galway,53.1188,-9.7632,,1678,1990_003,Fairley INJ 23(8) -  336., NO
3028,24/01/1990,1990,striped dolphin,Stenella coeruleoalba,Mweenish Island Carna,Co. Galway,53.2086,-8.9885,,1677,1990_002,Fairley & MacLoughlin INJ 23(8) -  336., NO
3029,04/01/1990,1990,harbour porpoise,Phocoena phocoena,Ballycotton,Co. Cork,51.8468,-8.0297,,1200,1990_001,Smiddy INJ 23(12) -  496., NO
3030,26/11/1989,1989,harbour porpoise,Phocoena phocoena,Knockadoon Head,Co. Cork,51.8827,-7.87,,1199,1989_041,Smiddy INJ 23(8) -  329-330., NO
3031,21/11/1989,1989,Atlantic white-sided dolphin,Lagenorhynchus acutus,Fountainstown,Co. Cork,51.7655,-8.3194,,1395,1989_040,Berrow INJ 23(12) -  500., NO
3032,17/11/1989,1989,harbour porpoise,Phocoena phocoena,Kilrush,Co. Clare,52.6278,-9.5219,,1198,1989_039,Berrow INJ 23(12) -  496., NO
3033,01/11/1989,1989,pilot whale,Globicephala melas,Ballycotton,Co. Cork,51.8018,-8.0877,,1841,1989_038,Smiddy INJ 23(8) -  331., NO
3034,20/10/1989,1989,harbour porpoise,Phocoena phocoena,Courtmacsherry Bay,Co. Cork,51.6472,-8.6653,,1197,1989_037,Berrow INJ 23(12) -  496., NO
3035,20/08/1989,1989,fin whale,Balaenoptera physalus,Black Head,Co. Clare,53.1429,-9.2859,,2053,1989_036,Fairley & MacLoughlin INJ 23(4) -  155., NO
3036,19/08/1989,1989,fin whale,Balaenoptera physalus,Rossmackowen,Co. Cork,51.6626,-9.7784,,2052,1989_035,Osbourne & Berrow INJ 24(12) -  508., NO
3037,01/08/1989,1989,striped dolphin,Stenella coeruleoalba,Portsalon Fanad,Co. Donegal,55.2,-7.62,,1663,1989_034,NMR/NMS1 , NO
3038,19/07/1989,1989,bottlenose dolphin,Tursiops truncatus,,,54.2442,-8.6449,,1637,1989_033,IWDG INJ 25(4) -  149., NO
3039,02/07/1989,1989,harbour porpoise,Phocoena phocoena,Dunmanus Bay,Co. Cork,51.5936,-9.5736,,1196,1989_032,Berrow INJ 23(12) -  496., NO
3040,24/06/1989,1989,bottlenose dolphin,Tursiops truncatus,Port Royal,Co. Sligo,54.2532,-8.6452,,1636,1989_031,Cotton INJ 23(4) -  157-158., NO
3041,18/06/1989,1989,sperm whale,Physeter macrocephalus ,Iniskea Islands,Co. Mayo,54.116,-10.2,,1986,1989_030,Barrett Hamilton Zool. (3) 14 -  72, NO
3042,17/06/1989,1989,minke whale,Balaenoptera acutorostrata,Knockadoon Head,Co. Cork,51.8737,-7.8991,,2103,1989_029,Smiddy INJ 23(4) -  154., NO
3043,14/06/1989,1989,common dolphin,Delphinus delphis,Knockadoon Head,Co. Cork,51.8827,-7.8845,,1506,1989_028,Smiddy INJ 23(4) -  159., NO
3044,16/05/1989,1989,harbour porpoise,Phocoena phocoena,Raghly,Co. Sligo,54.3339,-8.6618,,1195,1989_027,IWDG INJ 24(4) -  166-167., NO
3045,29/04/1989,1989,pilot whale,Globicephala melas,Dun-na-noir,Co. Kerry,52.1717,-10.4564,,1840,1989_026,Berrow & Barnett INJ 23(8) -  330-331., NO
3046,29/04/1989,1989,Atlantic white-sided dolphin,Lagenorhynchus acutus,Ballyferriter,Co. Kerry,52.1717,-10.4564,,1393,1989_024,Berrow & Smiddy INJ 23(4) -  158-159., NO
3047,29/04/1989,1989,Atlantic white-sided dolphin,Lagenorhynchus acutus,Ballyferriter,Co. Kerry,52.1717,-10.4564,,1394,1989_025,Berrow & Smiddy INJ 23(4) -  158-159., NO
3048,23/04/1989,1989,bottlenose dolphin,Tursiops truncatus,Rossbehy,Co. Kerry,52.0909,-9.9705,,1635,1989_023,Berrow INJ 23(12) -  499., NO
3049,23/04/1989,1989,Atlantic white-sided dolphin,Lagenorhynchus acutus,Beara,Co. Cork,51.5952,-10.0499,,1390,1989_020,Berrow & Smiddy INJ 23(4) -  158-159., NO
3050,23/04/1989,1989,Atlantic white-sided dolphin,Lagenorhynchus acutus,Ballydonegan Beara,Co. Cork,51.6219,-10.0656,,1391,1989_021,Berrow & Smiddy INJ 23(4) -  158-159., NO
