,S.W.No.,Name.Current.Sci,Name.Common,Latitude,Longitude,County,Year,Date
1323,1935/55,Pseudorca crassidens,False killer whale,56.4974,-2.7052,"Angus, Scotland",1935,27/11/1935
1324,1935/55,Pseudorca crassidens,False killer whale,56.4974,-2.7052,"Angus, Scotland",1935,27/11/1935
1325,1935/55,Pseudorca crassidens,False killer whale,56.4974,-2.7052,"Angus, Scotland",1935,27/11/1935
1326,1935/55,Pseudorca crassidens,False killer whale,56.4974,-2.7052,"Angus, Scotland",1935,27/11/1935
1327,1935/55,Pseudorca crassidens,False killer whale,56.4974,-2.7052,"Angus, Scotland",1935,27/11/1935
1328,1935/55,Pseudorca crassidens,False killer whale,56.4974,-2.7052,"Angus, Scotland",1935,27/11/1935
1329,1935/55,Pseudorca crassidens,False killer whale,56.4974,-2.7052,"Angus, Scotland",1935,27/11/1935
1330,1935/55,Pseudorca crassidens,False killer whale,56.4974,-2.7052,"Angus, Scotland",1935,27/11/1935
1331,1935/55,Pseudorca crassidens,False killer whale,56.4974,-2.7052,"Angus, Scotland",1935,27/11/1935
1332,1935/55,Pseudorca crassidens,False killer whale,56.4974,-2.7052,"Angus, Scotland",1935,27/11/1935
1333,1935/55,Pseudorca crassidens,False killer whale,56.4974,-2.7052,"Angus, Scotland",1935,27/11/1935
1334,1935/55,Pseudorca crassidens,False killer whale,56.4974,-2.7052,"Angus, Scotland",1935,27/11/1935
1335,1935/55,Pseudorca crassidens,False killer whale,56.4974,-2.7052,"Angus, Scotland",1935,27/11/1935
1336,1935/55,Pseudorca crassidens,False killer whale,56.4974,-2.7052,"Angus, Scotland",1935,27/11/1935
1337,1935/55,Pseudorca crassidens,False killer whale,56.4974,-2.7052,"Angus, Scotland",1935,27/11/1935
1338,1935/55,Pseudorca crassidens,False killer whale,56.4974,-2.7052,"Angus, Scotland",1935,27/11/1935
1339,1935/55,Pseudorca crassidens,False killer whale,56.4974,-2.7052,"Angus, Scotland",1935,27/11/1935
1340,1935/55,Pseudorca crassidens,False killer whale,56.4974,-2.7052,"Angus, Scotland",1935,27/11/1935
1341,1935/55,Pseudorca crassidens,False killer whale,56.4974,-2.7052,"Angus, Scotland",1935,27/11/1935
1342,1935/55,Pseudorca crassidens,False killer whale,56.4974,-2.7052,"Angus, Scotland",1935,27/11/1935
1343,1935/55,Pseudorca crassidens,False killer whale,56.4974,-2.7052,"Angus, Scotland",1935,27/11/1935
1344,1935/55,Pseudorca crassidens,False killer whale,56.4974,-2.7052,"Angus, Scotland",1935,27/11/1935
