"","S.W.No.","Name.Current.Sci","Name.Common","Latitude","Longitude","County","Year","Date"
"9084","SW2013/13","Phocoena phocoena","Harbour porpoise",51.64611111,-4.2480556,"Swansea",2013,"13/01/2013"
"9085","SW2013/23","Phocoena phocoena","Harbour porpoise",54.06694444,-3.1544444,"Cumbria",2013,"14/01/2013"
"9086","SW2013/24","Phocoena phocoena","Harbour porpoise",54.06694444,-3.1544444,"Cumbria",2013,"14/01/2013"
"9087","SW2013/27","Phocoena phocoena","Harbour porpoise",49.88833333,-4.4452778,"Cornwall",2013,"14/01/2013"
"9088","SW2013/14","Phocoena phocoena","Harbour porpoise",50.43833333,-3.5597222,"Torbay",2013,"16/01/2013"
"9089","SW2013/15","Phocoena phocoena","Harbour porpoise",51.76972222,1.0661111,"Essex",2013,"17/01/2013"
"9090","SW2013/28","Phocoena phocoena","Harbour porpoise",50.33111111,-4.7530556,"Cornwall",2013,"17/01/2013"
"9091","SW2013/25","Phocoena phocoena","Harbour porpoise",53.35,0.2588889,"Lincolnshire",2013,"19/01/2013"
"9092","SW2013/22","Phocoena phocoena","Harbour porpoise",51.35722222,1.4436111,"Kent",2013,"19/01/2013"
"9093","SW2013/26","Phocoena phocoena","Harbour porpoise",51.28805556,1.3766667,"Kent",2013,"22/01/2013"
"9094","SW2013/40","Phocoena phocoena","Harbour porpoise",52.79166667,1.6019444,"Norfolk",2013,"25/01/2013"
"9095","SW2013/29","Delphinus delphis","Short-beaked common dolphin",50.33222222,-4.7519444,"Cornwall",2013,"26/01/2013"
"9096","SW2013/30","Delphinus delphis","Short-beaked common dolphin",50.03472222,-5.26,"Cornwall",2013,"27/01/2013"
"9097","SW2013/31","Phocoena phocoena","Harbour porpoise",50.06277778,-5.5622222,"Cornwall",2013,"27/01/2013"
"9098","SW2013/32","Phocoena phocoena","Harbour porpoise",50.96833333,0.9675,"Kent",2013,"27/01/2013"
"9099","SW2013/33","Phocoena phocoena","Harbour porpoise",51.32833333,1.3883333,"Kent",2013,"27/01/2013"
"9100","SW2013/48","Delphinus delphis","Short-beaked common dolphin",50.24055556,-4.7872222,"Cornwall",2013,"31/01/2013"
"9101","SW2013/43","Phocoena phocoena","Harbour porpoise",51.77138889,1.0791667,"Essex",2013,"02/02/2013"
"9102","SW2013/46","Stenella coeruleoalba","Striped dolphin",51.67666667,-5.0480556,"Pembrokeshire",2013,"03/02/2013"
"9103","SW2013/49","Delphinus delphis","Short-beaked common dolphin",50.165,-5.6594444,"Cornwall",2013,"04/02/2013"
"9104","SW2013/45","Phocoena phocoena","Harbour porpoise",53.18138889,-4.4625,"Anglesey",2013,"04/02/2013"
