,Name.Current.Sci,Name.Common,Latitude,Longitude,County,Year,Date
209,Delphinus delphis,Common dolphin,52.8608457,-4.118388682,"Merioneth, Wales",1917,23/08/1917
210,Unknown odontocete,Unknown odontocete,51.99575805,1.387199049,Suffolk,1917,05/09/1917
211,Balaenoptera acutorostrata,Minke whale,51.526,-9.5332,"Cork, EIRE",1917,22/09/1917
212,Hyperoodon ampullatus,Bottlenose whale,51.5156,-9.5429,"Cork, EIRE",1917,20/09/1917
213,NA,NA,55.2866,-7.4815,"Donegal, EIRE",1917,04/10/1917
214,Balaenoptera physalus,Fin whale,49.89351553,-6.37286095,Cornwall,1917,13/10/1917
215,Unknown odontocete,Unknown odontocete,50.54642606,-2.416404299,Dorset,1917,24/10/1917
216,Hyperoodon ampullatus,Bottlenose whale,50.61375782,-2.449510306,Dorset,1917,27/10/1917
217,Lagenorhynchus albirostris,White-beaked dolphin,53.56602502,0.204831211,Yorkshire,1917,02/11/1917
218,Globicephala melas,Long-finned pilot whale,58.6456464,-3.025253631,"Caithness, Scotland",1918,25/01/1918
219,Lagenorhynchus albirostris,White-beaked dolphin,52.15120734,1.60519521,Suffolk,1918,02/02/1918
220,Lagenorhynchus albirostris,White-beaked dolphin,52.02984302,1.452487734,Suffolk,1918,03/02/1918
221,Lagenorhynchus albirostris,White-beaked dolphin,52.03680959,1.460318183,Suffolk,1918,03/02/1918
222,Delphinus delphis,Common dolphin,51.4971,-9.2912,"Cork, EIRE",1918,05/02/1918
223,Lagenorhynchus albirostris,White-beaked dolphin,51.22043256,1.44453004,Kent,1918,10/02/1918
224,Delphinus delphis,Common dolphin,52.24666485,-4.263351983,"Dyfed, Wales",1918,01/03/1918
225,Delphinus delphis,Common dolphin,52.42894313,-4.082901563,"Cardigan, Wales",1918,04/03/1918
226,Orcinus orca,Killer whale,54.98818262,-7.620351091,"Donegal, EIRE",1918,03/03/1918
227,Tursiops truncatus,Bottlenose dolphin,58.98660078,-2.957058106,"Orkney Islands, Scotland",1918,NA
228,Orcinus orca,Killer whale,50.80117032,-0.50980823,Sussex,1918,03/04/1918
229,Balaenoptera physalus,Fin whale,52.00607755,1.434622636,Suffolk,1918,10/04/1918
230,Orcinus orca,Killer whale,50.91138997,0.934977418,Kent,1918,15/04/1918
231,Tursiops truncatus,Bottlenose dolphin,51.48258006,-0.147194062,London,1918,08/05/1918
232,Balaenoptera acutorostrata,Minke whale,50.32827987,-4.641694893,Cornwall,1918,21/06/1918
233,Phocoena phocoena,Harbour porpoise,53.34364192,0.268462387,Lincolnshire,1918,03/07/1918
234,Balaenoptera physalus,Fin whale,56.44766518,-2.374439336,"Angus, Scotland",1918,03/07/1918
235,Balaenoptera acutorostrata,Minke whale,56.92640976,-7.534046403,"Inverness, Scotland",1918,26/07/1918
236,Balaenoptera acutorostrata,Minke whale,56.47684421,-2.185089849,"Angus, Scotland",1918,03/08/1918
237,Balaenoptera acutorostrata,Minke whale,57.01919845,-2.156479918,"Kincardine, Scotland",1918,05/08/1918
238,Tursiops truncatus,Bottlenose dolphin,52.3643,-9.8321,"Kerry, EIRE",1918,07/08/1918
239,Tursiops truncatus,Bottlenose dolphin,50.52648414,-2.457710709,Dorset,1918,07/08/1918
240,Delphinus delphis,Common dolphin,53.4147,-10.1477,"Galway, EIRE",1918,13/08/1918
241,NA,NA,53.2972,-9.8448,"Galway, EIRE",1918,15/08/1918
242,Tursiops truncatus,Bottlenose dolphin,50.44232486,-3.556360966,Devon,1918,NA
243,Tursiops truncatus,Bottlenose dolphin,54.74122945,-3.472713353,Cumberland,1918,17/08/1918
244,Balaenoptera acutorostrata,Minke whale,57.34539911,-1.93353066,"Aberdeen, Scotland",1918,19/08/1918
245,Tursiops truncatus,Bottlenose dolphin,53.2269,-9.4983,"Galway, EIRE",1918,20/08/1918
246,Tursiops truncatus,Bottlenose dolphin,53.42397754,-3.098677344,Cheshire,1918,20/08/1918
247,Lagenorhynchus acutus,White-sided dolphin,60.13236752,-1.288910582,"Shetland Islands, Scotland",1918,25/08/1918
248,Tursiops truncatus,Bottlenose dolphin,52.3631,-9.8361,"Kerry, EIRE",1918,26/08/1918
249,Globicephala melas,Long-finned pilot whale,58.81395859,-3.194715159,"Orkney Islands, Scotland",1918,27/08/1918
250,Globicephala melas,Long-finned pilot whale,58.81395859,-3.194715159,"Orkney Islands, Scotland",1918,27/08/1918
251,Hyperoodon ampullatus,Bottlenose whale,51.67860076,-4.246479947,"Carmarthenshire, Wales",1918,04/09/1918
252,Hyperoodon ampullatus,Bottlenose whale,53.1242,-9.1653,"Clare, EIRE",1918,04/09/1918
253,Phocoena phocoena,Harbour porpoise,52.82606959,1.539102051,Norfolk,1918,07/09/1918
254,Balaenoptera physalus,Fin whale,54.86813299,-3.39785374,Cumberland,1918,10/09/1918
255,Delphinus delphis,Common dolphin,53.1498,-9.7738,"Galway, EIRE",1918,22/09/1918
256,Tursiops truncatus,Bottlenose dolphin,52.85714589,-4.124150858,"Merioneth, Wales",1918,26/09/1918
257,Tursiops truncatus,Bottlenose dolphin,52.69290005,-4.055486649,"Merioneth, Wales",1918,01/10/1918
258,Globicephala melas,Long-finned pilot whale,52.1113,-9.9061,"Kerry, EIRE",1918,07/10/1918
259,Balaenoptera physalus,Fin whale,55.3317,-7.1774,"Donegal, EIRE",1918,19/10/1918
260,Delphinus delphis,Common dolphin,51.5287,-9.5403,"Cork, EIRE",1918,30/10/1918
261,Phocoena phocoena,Harbour porpoise,53.91197656,-0.156154378,Yorkshire,1918,05/11/1918
262,Unknown mysticete,un. Mystitcete ,55.42606172,-5.72548597,"Argyll, Scotland",1918,29/11/1918
263,Balaenoptera acutorostrata,Minke whale,54.2224,-10.0115,"Mayo, EIRE",1919,07/01/1919
264,Balaenoptera acutorostrata,Minke whale,57.110921,-2.059444056,"Kincardine, Scotland",1919,14/01/1919
265,Balaenoptera physalus,Fin whale,51.64228404,-4.80558615,"Pembroke, Wales",1919,20/01/1919
266,Lagenorhynchus albirostris,White-beaked dolphin,52.75953034,1.656770456,Norfolk,1919,26/04/1919
267,Lagenorhynchus albirostris,White-beaked dolphin,52.60575691,1.741454932,Norfolk,1919,01/05/1919
268,Balaenoptera acutorostrata,Minke whale,54.98063679,-1.378054229,Durham,1919,07/05/1919
269,Ziphius cavirostris,Cuvier's Beaked whale,54.8712,-8.4018,"Donegal, EIRE",1919,03/07/1919
270,Lagenorhynchus acutus,White-sided dolphin,60.13682801,-1.283412773,"Shetland Islands, Scotland",1919,22/07/1919
271,Lagenorhynchus acutus,White-sided dolphin,60.13682801,-1.283412773,"Shetland Islands, Scotland",1919,22/07/1919
272,Unknown odontocete,Unknown odontocete,50.76931369,0.099080061,Sussex,1919,23/07/1919
273,Delphinus delphis,Common dolphin,51.8825,-7.8672,"Cork, EIRE",1919,04/08/1919
274,Phocoena phocoena,Harbour porpoise,51.99114439,1.391221888,Suffolk,1919,10/08/1919
275,Grampus griseus,Risso's dolphin,56.1048606,-3.809004151,"Stirling, Scotland",1919,25/08/1919
276,Phocoena phocoena,Harbour porpoise,51.98734425,1.398219515,Suffolk,1919,13/09/1919
