,Year,Species,Total_events
737,1987,Physeter macrocephalus,4
738,1987,Stenella coeruleoalba,4
739,1987,Tursiops truncatus,3
740,1987,Ziphius cavirostris,2
741,1988,Balaenoptera acutorostrata,4
742,1988,Balaenoptera physalus,2
743,1988,Delphinus delphis,11
744,1988,Globicephala melas,16
745,1988,Grampus griseus,2
746,1988,Hyperoodon ampullatus,2
747,1988,Lagenorhynchus acutus,4
748,1988,Lagenorhynchus albirostris,5
749,1988,Phocoena phocoena,36
750,1988,Physeter macrocephalus,12
751,1988,Stenella coeruleoalba,4
752,1988,Tursiops truncatus,8
753,1989,Balaenoptera acutorostrata,4
754,1989,Balaenoptera borealis,1
755,1989,Balaenoptera physalus,2
756,1989,Delphinus delphis,19
757,1989,Globicephala melas,17
758,1989,Grampus griseus,2
759,1989,Hyperoodon ampullatus,1
760,1989,Lagenorhynchus acutus,16
761,1989,Lagenorhynchus albirostris,4
762,1989,Mesoplodon bidens,2
763,1989,Phocoena phocoena,72
764,1989,Physeter macrocephalus,9
765,1989,Stenella coeruleoalba,2
766,1989,Tursiops truncatus,6
767,1989,Ziphius cavirostris,3
768,1990,Balaenoptera acutorostrata,16
769,1990,Balaenoptera borealis,1
770,1990,Balaenoptera physalus,3
771,1990,Delphinus delphis,31
772,1990,Globicephala melas,24
773,1990,Grampus griseus,4
774,1990,Lagenorhynchus acutus,17
775,1990,Lagenorhynchus albirostris,4
